appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Kyle Morrison,s_26,Fluoride exposure and cognitive neurodevelopment: Systematic review and dose-response meta-analysis,16:00,Yes,,No,,Yes,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,16:09
Brian Gallagher,s_26,Fluoride exposure and cognitive neurodevelopment: Systematic review and dose-response meta-analysis,15:53,Yes,,No,No Stata code log included,Yes,,No,,No,,Yes,,Yes,"Not clear in main text, but weighting method is mentioned in the caption of Figure 3",No,,Yes,,No,"Mentions I^2 in the Methods, but does not appear to report it afterwards",Yes,,Yes,Multiple subset analyses,No,,,‘No’ for MATES item 13,"Applying MATES to this analysis was relatively straightforward, even if it took time to find some information",16:19
Edward Purssell,s_26,Fluoride exposure and cognitive neurodevelopment: Systematic review and dose-response meta-analysis,7:21,Yes,Stata software v17.0,No,,Yes,PRISMA flow chart,Yes,Forest plots,Yes,Mean difference,Yes,Random-effects model,Yes,Forest plots,No,There does appear to be dependent effect sizes with multiple results from some studies,Yes,Forest plots,Yes,Forest plots and in the text,Yes,Mentioned in the paper and refers to supplementary file,Yes,Numerous analyses including stratified by Risk of Bias,No,"There is no raw data, although the paper suggests this may be in a supplementary file this just contains forest plots",Yes,Section 2.3,,NA
Shanika Nanayakkara,s_26,Fluoride exposure and cognitive neurodevelopment: Systematic review and dose-response meta-analysis,14:15,Yes,Data Analysis section 2.5,No,,Yes,Results section 3.1 and the PRISMA flow diagram,No,,No,,Yes,Data analysis section 2.5,Yes,Forest plots and the forest plot legends,No,,Yes,On forest plots and in-text,Yes,Both in methods and results sections,Yes,Section 3.4,Yes,Supplementary Data Figures S7 and S8,Yes,Table 1,Yes,Sections 2.3 and Table 1,It was quick as the information on the publication is clearly presented and the checklist is easy to use.,14:33
Kiran T M,s_27,FSC forest certification effects on biodiversity: A global review and  meta-analysis,14:23,Yes,Reported in methodology section,No,Not reported,Yes,Reported in manuscript and in Supplimentary file,Yes,Reported in Abstract and methodology section,Yes,Mentioned in methodolgy as a descriptive statement,Yes,Mentioned in Methodology section,No,Although reported weighted mean but did not reported the weights used,No,Not reported,Yes,Reported in result section,Yes,The results of Heterogeneity test is reported in supplimentary files,Yes,Reported in result section,No,,Yes,Reported in Data availablity section,Yes,All the variables are described properly ,This study satisfies 10 out of 14 items of MATES,14:42
Erin Macartney,s_27,FSC forest certification effects on biodiversity: A global review and  meta-analysis,13:45,Yes,R,No,,Yes,,Yes,in figures,No,,Yes,hierarchical metaanalysis,Yes,use weighted means,Yes,mentioned that they use a hierarchical model to over come effect sizes from same dataset,Yes,,Yes,QM,Yes,,No,,Yes,on figshare,Yes,in excel file of data,,13:57
Kyle Morrison,s_27,FSC forest certification effects on biodiversity: A global review and  meta-analysis,9:05,Yes,R,No,,Yes,,No,,No,,Yes,,No,says weighted but not how they are weighted - need to make this more clear in question,Yes,,Yes,,Yes,,Yes,tudy heterogeneity among effect sizes was evaluated with a Q statistics heterogeneity test (I2),No,,Yes,archived in figshare,Yes,descriptions with data on figshare,,9:11
Guang Hao,s_27,FSC forest certification effects on biodiversity: A global review and  meta-analysis,13:23,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,,Yes,,Yes,,Yes,,No,,No,,No,,,13:35
Dakis-Yaoba Ouédraogo,s_28,Genotoxicity Evaluation of Titanium Dioxide Nanoparticles In Vivo and In Vitro: A Meta-Analysis,11:47,Yes,"Section 2.5 ""R-4.2.0 software and the meta package were utilized for all statistical analyses""",No,,Yes,"Fig 1 and section 3.1, section 3.2 and abstract",No,,Yes,Section 2.5 (standardized mean difference),Yes,section 2.5,Yes,Fig 2,No,,Yes,Fig 2 and section 3.3.1,Yes,Fig 2,Yes,Fig 6,Yes,"Yes but the methods used to perform the sensitivity analysis were not reported, the results were also not shown",Yes,Yes forest plots,Yes,"Tables 1, 2",,12:09
Betina Kozlowsky Suzuki,s_28,Genotoxicity Evaluation of Titanium Dioxide Nanoparticles In Vivo and In Vitro: A Meta-Analysis,NA,Yes,R software (abstract),No,,Yes,Table 1,No,,No,,Yes,Section 2.5,Yes,Fig 2a,No,,Yes,Fig 2a,Yes,Fig 2a,No,,No,,Yes,Table 1,Yes,Table 1,Straight forward. The authors carried out a Quality Assessment. Appraisal time taken 25:44 (25 minutes and 44 seconds). ,NA
Kyle Morrison,s_28,Genotoxicity Evaluation of Titanium Dioxide Nanoparticles In Vivo and In Vitro: A Meta-Analysis,13:40,Yes,,No,,Yes,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,13:54
Kyle Morrison,s_28,Genotoxicity Evaluation of Titanium Dioxide Nanoparticles In Vivo and In Vitro: A Meta-Analysis,15:14,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,15:20
Zachary Simpson,s_28,Genotoxicity Evaluation of Titanium Dioxide Nanoparticles In Vivo and In Vitro: A Meta-Analysis,10:15,Yes,R v 4.2.0 and the 'meta' package (sect. 2.5),No,,Yes,Given in Figure 1 (31 studies),No,"Not stated explicitly, as far as I can tell. Multiple effect sizes seem apparent based on the multiple entries in Table 2 per some studies. The forest plots in Figure 2 boil this down per each analysis (so it is count-able), but this isn't commented on.",No,Standardised mean difference is used but this isn't defined nor referenced.,Yes,"Authors used a ""random effects model"", e.g. described in Figure 2 and mentioned in sect. 2.5.",Yes,"Illustrated in forest plots, although not really discussed in methods or elsewhere.",No,"It's apparent from the plots and tables that some studies provided multiple effect sizes, there is no discussion of this within-study dependence.",Yes,Given in forest plots and Results text.,Yes,I^2 and tau^2 were given in forest plots.,Yes,Section 3.4.3 reports on the publication bias.,Yes,"A ""subgroup analysis"" is reported and they also mention ""The stability and reliability of the meta-analysis results were assessed through sensitivity analysis."" in section 2.5. No further details given. The report in 3.4.3 is rather plain.",Yes,"Technically, yes (Table 1 and Table 2). The data collection was rather simple.",Yes,"Again, rather simplistic, but described in section 2.4.","There may be some loopholes in some criteria. For example, the publication bias was assessed here but ultimately had no real sway on the paper itself -- it feels like a box-ticking exercise. Can meeting each item of MATES in such fashion really lead to better quality meta-analyses?",10:42
Simone Jaqueline Cardoso,s_29,Global prevalence and genotype distribution of Microsporidia spp. in various consumables: a systematic review and meta-analysis,11:38,Yes,"Methods section; subheading ""Data synthesis and statistical analysis"", Last paragraph.",No,,Yes,"Results section, subheading ""Study characteristics"", first paragraph; Figure 1.",No,,No,,Yes,"Methods section; subheading ""Data synthesis and statistical analysis"", first paragraph.",No,,No,,Yes,Figure 3,Yes,Results section.,Yes,"Methods section, subheading ""Data synthesis and statistical analysis""; Results section; subheading ""Study characteristics""; 3rd paragraph.",No,,Yes,Table 1,No,,"Figures legends and tables headings poorly describe their contents, which would help to understand the missing results.",12:08
Kyle Morrison,s_29,Global prevalence and genotype distribution of Microsporidia spp. in various consumables: a systematic review and meta-analysis,15:35,Yes,,,cmas,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,No,,No,,,,,15:38
Brian Gallagher,s_29,Global prevalence and genotype distribution of Microsporidia spp. in various consumables: a systematic review and meta-analysis,15:04,Yes,,,"Used Comprehensive Meta-Analysis software, which does not report syntax",Yes,,No,"Articles reported as containing multiple 'datasets' in Results section, which I think correspond to the number of effect sizes but I cannot be sure",No,"Appears to use prevalence (infected samples/total samples), but does not explicitly say how it was calculated",No,,No,"Relative weights given in forest plots, but not explicitly mentioned",No,,Yes,Figure 2,Yes,Estimates I^2,Yes,End of Section 3.1,Yes,Subset analysis in Figure 3,No,,,‘No’ for MATES item 13,"The way this study was written lacked many details, and the authors chose words or phrases did not match the language used by MATES (e.g. referring to 'datasets' within studies), both of which made application more difficult.",15:25
Harriet Sleight,s_29,Global prevalence and genotype distribution of Microsporidia spp. in various consumables: a systematic review and meta-analysis,13:11,Yes,"All analytical functions were applied by comprehensive meta-analysis software (version 2, BIOSTAT)",,Not applicable as the authors used a GUI (comprehensive meta-analysis software) which does not produce a code.,Yes,35 articles were included.  This is stated in the results section of the text and the PRISMA diagram included as Figure 1. ,No,,No,,Yes,a random-effects model was used (section 2.4 Data synthesis and statistical analysis).,No,,No,,Yes,"The overall mean is reported for three groups: microsporidia in water, microsporidia in vegetables and fruits and microsporidia in milk, cheese and meat. ",Yes,Heterogeneity is desribed using the I^2 statistic ,Yes,Publication bias was assessed using the Egger's regression test. ,No,,Yes,"The data extracted from each eligible primary study are reported in Tables 1, 2, and 3",Yes,"The variables extracted are not explicitly described but are clear from the column headings in Tables 1, 2 and 3",The data availablilty statement states 'All relevant data are included in the paper or its Supplementary Information.' however I could not find a supplementary information document for this article. ,13:32
Ziqian Xia,s_29,Global prevalence and genotype distribution of Microsporidia spp. in various consumables: a systematic review and meta-analysis,17:40,Yes,"All analytical functions were applied by comprehensive meta-analysis software (version 2, BIOSTAT, Englewood, NJ, USA) (Nasiri et al. 2015; Taghipour et al. 2020a).",,,Yes,"We identified a total of 1,308 records following the initial search of databases; after duplicate removal, title- and abstract-screening, 35 articles (27 datasets for water, 7 datasets for vegetables/fruits, 4 datasets for milk, 1 study for cheese, and 1 study for meat) were eligible to be included in this systematic review and meta-analysis (Figure 1).",Yes,,No,,Yes, The point estimates and 95% confidence intervals (CIs) were calculated using a random-effects model.,No,,Yes,,Yes,,Yes,"The pooled prevalence of microsporidia infection in mixed water, mixed fruits, mixed vegetables, and milk was 43.3% (95% CI, 33–54.2%; I2, 94.86%), 35.8% (95% CI, 5.3–84.8%; I2, 0), 12% (95% CI, 4.9–26.6%; I2, 96.43%), and 5.8% (95% CI, 2.7–12%; I2, 83.72%), respectively.",Yes, Egger's regression test,No,,Yes,All relevant data are included in the paper or its Supplementary Information.,Yes,,,17:55
Silvina Magdalena Manrique,s_30,Household food waste and theory of planned behavior: A systematic review and meta-analysis,15:23,Yes," Excel interface
",No,,Yes,"Fig. 1 PRISMA
",No,,No,,Yes,"Table 1 Random-effects
average correlation and
heterogeneity statistics
",,,No,,No,,Yes,"The current study also tested the heterogeneity
across various dimensions by employing Q (a significant
result indicates vital heterogeneity and I2 (values of 25%,
",Yes,"The publication-bias-analysis method, created by Jack
Vevea and his coworkers, assists researchers in estimating
the influence of publication bias and correcting for it
(Maydeu-Olivares 2009).
",No,,No,,No,,,15:36
Kyle Morrison,s_30,Household food waste and theory of planned behavior: A systematic review and meta-analysis,11:20,Yes,,,,Yes,,No,,No,,Yes,,No,,No,,No,Not sure if I like this question and it is useful,Yes,,Yes,,No,,No,,,,,11:26
Jelaine Gan,s_30,Household food waste and theory of planned behavior: A systematic review and meta-analysis,17:22,Yes,,,,Yes,,Yes,,No,,Yes,,,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,17:44
Evangelia Ntzani,s_30,Household food waste and theory of planned behavior: A systematic review and meta-analysis,17:39,Yes,Meta-Essentials in the Excel interface (Suurmond et al. 2017) where pooled mean effect size (r+) and subgroup analysis were held.,,Excel function used ,Yes,"Initially, 203 records entered into the screening stage, out of which 103 records were excluded because the food waste variable along with the TPB theoretical framework did not exist. Further, this difference of 100 went into the category of “reports sought for retrieval.” Out of this, 21 reports went into the category “reports not retrieved” as the authors did not find the access to reports. This further created a difference of 79 which went into the column “reports assessed for eligibility.” Out of this, 53 reports
got excluded under a “three valid reasons” head. Under reason 1, 18 reports got excluded because correlation was not reported in the mentioned studies. Under reason 2, 12 reports got excluded because behavior was not explained. Finally, under reason 3, 23 reports got excluded because other variables were explained (Fig. 1).
Inclusion stage
The proper methodological source for justifying the sample size is PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses). It is the set of guidelines which depicts the number of studies identified, screened, included, and excluded at each stage of the review process. The flow diagram of PRISMA provides transparency and demonstrates the adequacy of sample size based on the inclusion and exclusion criteria (Page et al. 2020). Lin (2018) suggests that a sample size of 10 to 20 may be sufficient to get satisfactory meta-analysis results. 

Finally, a total of 26 studies met the inclusion criteria (Fig. 2). ",Yes,Figure 2. ,No,"No reporting on the estimates reported in Figure 2 (""correlation coefficients""). 

In adherence to the TPB theoretical model, the studies should carry at least reported correlations among the following outcomes, i.e., Attitude with Intention, Subjective Norm with Intention, Perceived Behavioral Control with Intention, Intention with Behavior, and Perceived Behavioral Control with Behavior",Yes,"Not reported in the methods. ""The analysis of the current study was performed on Meta- Essentials in the Excel interface (Suurmond et al. 2017) where pooled mean effect size (r+) and subgroup analysis were held.""

Random-effects average correlation mentioned",No,"The authors have not reported the sampling variance, sampling error or equivalent",No,The authors have not reported whether there is dependence of correlation estimates in the manuscript or supplementary material.,Yes,"Text, Table 1, funnel plots",Yes,Table 1,Yes,"The publication-bias-analysis method, created by Jack Vevea and his coworkers, assists researchers in estimating the influence of publication bias and correcting for it (Maydeu-Olivares 2009). The aim of publication-bias analysis is to sets outcomes as (a) trivial influence of publication bias; (b) non-trivial impact, although the main finding remains true; or (c) significant impact of publication bias (Gifford 2016).
Funnel plot
Funnel plots show effect magnitude and variance or standard error on the X and Y axis, respectively (Gifford 2016). In this analysis, research with small sample sizes are more likely to be published due to considerable variation, while studies with big sample sizes are more likely to be published regardless of significance. The studies with better accuracy are at the top of the funnel, while those with lesser accuracy are at the bottom. Asymmetry is generally found at the bottom of the graph and in the funnel’s wide opening, where studies are less precise. The funnel’s large aperture is asymmetric, indicating that significant instances have been published while non-significant cases have not.
From the above funnel plots, it clearly reveals the random-effects average correlation among TPB variables. The funnel plot (Fig. 3) reflected that TPB variables carry an association among stated variables. Primarily, the correlation between Aattitude and Iintention is indicating a moderate positive relationship (0.44) (LL = 0.47 and
Fig. 3 The funnel plot for the association between Attitude and Intention
97651
UL = 0.51); power limit (LL = − 0.13 and UL = 1.10); and SE (z) = 0.01, and this value of standard error is smaller so it indicated a more precise estimate. The Egger regression analysis indicates that there is a positive slope between the predictor variable and the outcome variable, as indicated by the estimate of 0.54. However, the p-value of 0.67 suggests that this slope is not statistically significant, indicating that there may not be a robust relationship between the predictor and outcome variables.
Further, in the funnel plot (Fig. 4), the observed correlation between Ssubjective Nnorms and Iintention is 0.40 (LL = 0.38 and UL = 0.42); power limit (LL = − 0.14 and UL = 0.93); and SE (z) = 0.01, and this value is smaller so it indicated more precise estimate. The Egger regression analysis indicates that there is a positive slope between the predictor variable and the outcome variable, as indicated by the estimate of 0.48. However, the p-value of 0.44 suggests that this slope is not statistically significant, indicating that there may not be a robust relationship between the predictor and outcome variables. The next funnel plot (Fig. 5) reflected the correlation between PCB and Intention is 0.40 (LL = 0.39 and UL = 0.42); power limit (LL = − 0.09 and UL = 0.90); and SE (z) = 0.01, and this value is smaller so it indicated a more precise estimate. The Egger regression analysis indicates that there is a positive slope between the predictor variable and the outcome variable, as indicated by the estimate of 0.53. However, the p-value of 0.21 suggests that this slope is not statistically significant, indicating that there may not be a robust relationship between the predictor and outcome variables.
Further, in the funnel plot (Fig. 6), the correlation between PBC and Behavior is 0.24 (LL = 0.22 and UL = 0.26); power limit (LL = − 0.53 and UL = 1.00); and SE (z) = 0.01, and this value is smaller so it indicated. ",No,Table3 Random-effects average correlation and heterogeneity statistics through sample size wise (sample size ≥ 400 and sample size < 400) of participants,No,reported as non applicable,No,No reporting,Synthesis methods description poor. ,18:13
Francesco Latterini,s_31,Is Cr(III) re-oxidation occurring in Cr-contaminated soils after remediation: Meta-analysis and machine learning prediction,12:14,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,Yes,,Yes,,Yes,,No,,No,,,12:20
Kyle Morrison,s_31,Is Cr(III) re-oxidation occurring in Cr-contaminated soils after remediation: Meta-analysis and machine learning prediction,16:16,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,16:28
Mojtaba Keikha,s_31,Is Cr(III) re-oxidation occurring in Cr-contaminated soils after remediation: Meta-analysis and machine learning prediction,18:40,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Thank you.,18:47
Silvina Magdalena Manrique,s_31,Is Cr(III) re-oxidation occurring in Cr-contaminated soils after remediation: Meta-analysis and machine learning prediction,19:27,Yes,"The meta-analysis was conducted using the “metafor” package in the
R software (4.2.3)
",No,,Yes,"Based on these criteria and the literature screening process shown in Fig. 1a, 1030 data records were collected from 24 publications for this meta-analysis.
",No,,Yes,"The log response ratio (ln(RR), Eq. (1)) was used as the effect size to characterize the influence of explanatory variables as the effect size to characterize the influence of explanatory variables such as oxidants and soil properties on Cr(III) oxidation in soil, and the sampling variance associated with each ln(RR) was estimated using Eq.(2), as shown below [11].
",Yes,The random effects model was used to estimate the relationship between the cumulative effect size (CES) and explanatory variables.A mixed-effects model was used with linear or nonlinear regression to explore the influence of the explanatory variables on the effect size.,Yes,"where the weighting of each response ratio (wi) is the reciprocal of its variance, k is the number of observations in the ith group, and τ2 is the variance among studies",No,,No,,Yes,"At the same time, the heterogeneity (Qm) of the explanatory variables was assessed by the Q-test, and multiple hypothesis tests were performed on the p-values
",Yes,"Publication bias was graphically tested using funnel plots and statistically tested using Egger’s regression test
",Yes,"Publication bias and sensitivity analyses were performed to evaluate the stability and reliability of the meta-analysis
",No,,No,,,19:38
Evangelia Ntzani,s_31,Is Cr(III) re-oxidation occurring in Cr-contaminated soils after remediation: Meta-analysis and machine learning prediction,1:12,Yes,"The meta-analysis was conducted using the “metafor” package in the
R software",No,No code provided (R package mentioned),Yes,"Based on these criteria and the literature screening process shown in Fig. 1a, 1030 data records were collected from 24 publications for this meta-analysis. Fig. 1b shows the geographical distribution of the selected research studies worldwide.",Yes,"In this study, 1030 data were collected to perform a meta-analysis to clarify the effects of various factors (oxidant type, soil and Cr(III) solid compound
properties, aging conditions, and testing methods) on Cr(III) oxidation.",Yes,section 2.3,Yes,"The random effects model was used to estimate the relationship
between the cumulative effect size (CES) and explanatory variables. The
CES (y) was calculated using Eqs. (3) and (4) [27",Yes,"The random effects model was used to estimate the relationship
between the cumulative effect size (CES) and explanatory variables. The
CES (y) was calculated using Eqs. (3) and (4) ... where the weighting of each response ratio (wi) is the reciprocal of its variance, k is the number of observations in the ith group, and τ2 is the variance among studies [49].",No,Not reported. Multiple data per study,Yes,"Figure 2, 4, 5 & text",No,"Only mention: Furthermore, all I2 (representing the heterogeneity between studies)
values were above 99.9%, indicating the need to introduce explanatory
variables for detailed exploration ",Yes,Figure 6,Yes,"A mixed-effects model was used with linear or nonlinear regression
to explore the influence of the explanatory variables on the effect size.
Publication bias was graphically tested using funnel plots and statistically
tested using Egger’s regression test. Egger’s regression test, pruning,
and filling methods were used to obtain more reliable results [24].
The effect of publication bias was eliminated as much as possible
through a sensitivity analysis (cumulative method) [25].
An RF model was employed to calculate the importance of the
explanatory variables and assess the effect of each explanatory factor on
the response variable. The “random forest” package of R Studio 4.3.0
was employed to construct the RF model. 

The reliability of the calculation results was further confirmed by
calculating the Rosenthal fail-safe number (Fig. 6c–d). The failure-safety
N values of both were over 5k +10 times the number of studies (k is the
number of studies, k=1030), indicating that the conclusions of this
study are reliable",No,Data will be made available on request.,No,Not reported,,1:37
Edward Purssell,s_32,Leptin receptor Gln223Arg and Lys109Arg polymorphisms may be associated with HBV-related hepatocellular carcinoma risk: A system review and meta-analysis,14.52,Yes,Review Manager 5.3,,Used a GUI - Review Manager 5.3,Yes,"PRISMA flow-chart, text, tables, forest plot",Yes,"Tables, forest plot",Yes,"Uses common statistics - OR, plus Hardy–Weinberg disequilibriums",Yes,"State ""For heterogeneity (p is less than .05) of statistical significance among incorporate researches, we employed random-effect models; on the contrary, we employed fixed-effect models"" which is a bit confusing.  Seem to have used fixed effects.",Yes,Forest plot,No,Papers only provided one ES per analysis,Yes,Forest plot and tables,Yes,"Forest plot, tables and text",Yes,Figures and text,Yes,There are multiple analyses.  Maybe too many for the small number of studies (n=5),Yes,Forest plot and tables,Yes,Text and tables,,15:04
Ziqian Xia,s_32,Leptin receptor Gln223Arg and Lys109Arg polymorphisms may be associated with HBV-related hepatocellular carcinoma risk: A system review and meta-analysis,16:02,Yes,""" Review Manager 5.3 (The Cochrane Collaboration, Oxford, England) was employed by all those statistical tests.""",No,,Yes,"""FIGURE 1
Flowchart showing search strategies, selection criteria, and included studies.""",No,"The authors did not explicitly mentioned the number of included effect sizes, but we do have an overview of ""TABLE 1. Characteristics of studies included in the meta-analysis.""",No,,Yes,"In the section 2.4 Statistical analyses

""...we employed random-effect models; we employed fixed-effect models..""",No,,No,,Yes,"""TABLE 4. Overall meta-analysis of the association of the Gln223Arg and Lys109Arg polymorphisms with hepatocellular carcinoma risk.""",Yes,"In the section 3.2 Quantitative data synthesis

""Finally, we conducted subgroup meta-analysis ..""",Yes,"FIGURE 4
Begg's funnel plot and Egger's test to assess publication bias risk in analysis",No,,No,"Though in the DATA AVAILABILITY STATEMENT, the authors state that the data that supports the findings of this study are available in the supplementary material of this article, but I couldn't find the links to the dataset.",Yes,TABLE 1. Characteristics of studies included in the meta-analysis.,,16:14
Kyle Morrison,s_32,Leptin receptor Gln223Arg and Lys109Arg polymorphisms may be associated with HBV-related hepatocellular carcinoma risk: A system review and meta-analysis,10:00,Yes,,,CMAS,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,No,,No,,,will alter this to be be independent of item 13,,10:09
Brian Gallagher,s_32,Leptin receptor Gln223Arg and Lys109Arg polymorphisms may be associated with HBV-related hepatocellular carcinoma risk: A system review and meta-analysis,14:04,Yes,Methods,No,"Authors said that data is in supplementary material, which I could not find a link to in the article or the online version",Yes,Flow chart,No,,No,,Yes,Table 4,No,"Not explicitly mentioned, although relative weights are shown in forest plot",No,,Yes,,Yes,Table 4,Yes,Figure 3,Yes,Subset analysis (see Results),Yes,"I am not sure, but I think the raw data necessary to calculate effect sizes are reported in Table 2",No,,"I found this study difficult to read and understand, with few details explained by the authors. This made it difficult to quickly determine whether some MATES criteria were satisfied",14:31
Shanika Nanayakkara,s_32,Leptin receptor Gln223Arg and Lys109Arg polymorphisms may be associated with HBV-related hepatocellular carcinoma risk: A system review and meta-analysis,15:10,Yes,Statistical analysis section 2.4,No,Not reported,Yes,Figure 1 Flowchart. It seems that there is a typo in section 3.1 where it says 'excluded' instead of 'included' five studies,No,,No,Not reported the formula or a reference,Yes,Statistical analysis section 24,No,Relative weights are reported but the strategy to assign weight is not available.,No,,Yes,In-text and forest plots,Yes,In-text and forest plots,Yes,Section 3.4,Yes,Section 3.3,Yes,Tables 1 and 2,Yes,Section 2.2 in methods and Tables 1 and 2,Application was quick and easy. Methodology section lacks some information on the process and strategies utilised. ,15:36
Lorenzo Ricolfi,s_33,Meta-analysis of agroecological technologies and practices in the sustainable management of banana pests and diseases,10:30,Yes,Statistical analyzes were carried out with R 4.2. (R Development Core Team 2017) and with an alpha level of 0.05.,No,,Yes,"Over 343 abstracts were reviewed for relevance, and 24 papers were ultimately selected based on the following criteria:",Yes,"In this study, we generated 54 efect sizes (Z) from 24 studies.",Yes,"Then, we calculated Fisher’s Z, using the equation of Rosenthal and DiMatteo (2002): Z=1/2 log [(1+r) / (1-r)]. Z, the efect size, estimates the magnitude of the relationship between a predictor variable and its response.",Yes,"I AM NOT SURE. The authors only state this:
We analyzed the relationship between each efect size and variable responses using Linear Models (LM).",No,,No,,Yes,"Fig. 5 is supposed to be a forest plot, but an horrible version of it. The green light is the mean (?). It does not look like looking at the individual means. I am not sure.",No,,No,,No,,No,Data generated during this study are available from the corresponding author.,No,,,10:40
Kyle Morrison,s_33,Meta-analysis of agroecological technologies and practices in the sustainable management of banana pests and diseases,14:05,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,,,,14:12
April Robin Martinig,s_33,Meta-analysis of agroecological technologies and practices in the sustainable management of banana pests and diseases,11:48,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,No,,No,This seems to always be reported in more detail than the overall mean effect,No,,No,,No,,No,"Author statement: ""Data generated during this study are available from the corresponding author.""",,,,11:58
Ayumi Mizuno,s_33,Meta-analysis of agroecological technologies and practices in the sustainable management of banana pests and diseases,11:50,Yes,"[3 Statistical analyses] We analyzed the relationship between each effect size and variable responses using Linear Models (LM). Statistical analyzes were carried out with R 4.2. (R Development Core Team 2017) and with an alpha level of 0.05.
",No,,Yes,"[2 Selection of articles and collection of information]
The 24 studies selected were carried out in tropical and subtropical zones, particularly in sub-Saharan Africa (East, West and Central Africa), the French West Indies and Latin America with a humid tropical climate,",Yes,"[3 Statistical analyses]
In this study, we generated 54 effect sizes (Z) from 24 studies",Yes,"[3 Statistical analyses] The degrees of freedom (Df), p-value (P), t-value (t), or coefficient of determination (r²) of each response reported in a study were converted into a standard statistic, the correlation coefficient r (Dassou & Tixier, 2016). Then, we calculated Fisher’s Z, using the equation of Rosenthal and DiMatteo (2002): Z = 1/2 log [(1 + r) / (1-r)]. ",No,"[3 Statistical analyses]
Thee analyzed the relationship between each effect size and variable responses using Linear Models (LM).                                                                                                                                   ",No,,No,,No,"Maybe yes?
The authors seem to provide the overall mean effect of meta-analyses by figures, but I do not think we can know the specific values.",No,,No,,No,,No,"[Data availability]
Data generated during this study are available from the corresponding author.",,,,12:11
Patrice Pottier,s_33,Meta-analysis of agroecological technologies and practices in the sustainable management of banana pests and diseases,17:38,Yes,,No,,Yes,,Yes,,Yes,"""The degrees of freedom (Df), p-value (P), t-value (t), or coefcient of determination (r²) of each response reported in a study were converted into a standard statistic, the correlation coefcient r (Dassou & Tixier, 2016). Then, we calculated Fisher’s Z, using the equation of Rosenthal and DiMatteo (2002): Z=1/2 log [(1+r) / (1-r)]. Z, the efect size, estimates the magnitude of the relationship between a predictor variable and its response.""",No,"""We analyzed the relationship between each effect size and variable responses using Linear Models (LM).""",No,,No,,No,"The authors perform a variety of meta-regressions, but not ""overall mean effects"" per se",No,,No,,No,,No,"""Data generated during this study are available from the corresponding author.""",,,,17:42
Ziqian Xia,s_34,Meta-analysis of the thermal pollution caused by coastal nuclear power plants and its effects on marine biodiversity,16:20,Yes,"""All statistical analyses were conducted in R software version 4.1.3""",No,,Yes,"We found 853 articles of which, 99 were included in the qualitative analysis and 75 in the meta-analysis.",No,,No,,Yes,"""A mixed effect model (Nakagawa and Santos, 2012) using the rma.mv function was used for the meta-analysis.""",No,,No,,Yes,"""Fig. 7. Forest plot of the observed temperature difference between the area impacted by the thermal effluent and the reference areas evaluated in the primary studies (k = 82). """,Yes,"""Table 1. Results of the meta-regression models testing the effect of the three moderators on temperature variation between impacted and reference areas. """,Yes,"""Egger's regression, which measures the relationship between residual effect size and study precision, showed that the evaluated studies had a symmetrical distribution, i.e., they did not exhibit significant publication bias (β0 = −0.61; t = −1.55; p = 0.13; SM3).""",No,,Yes,,Yes,,,16:28
Kyle Morrison,s_34,Meta-analysis of the thermal pollution caused by coastal nuclear power plants and its effects on marine biodiversity,9:53,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,used a mixed effects but not level of dependency,Yes,,Yes,,Yes,,No,,No,,,,,10:00
